UserID,Region,age,age_groups,email_flag,sm_flag,Race,Gender
34,Free State,55,Elder,1,1,white,male
39,Eastern Cape,54,Elder,1,1,black,male
63,Kwazulu Natal,51,Elder,1,1,black,male
90,Kwazulu Natal,49,Adult,1,1,coloured,male
97,Free State,48,Adult,1,1,coloured,male
104,Gauteng,47,Adult,1,1,black,male
107,Gauteng,47,Adult,1,1,black,female
108,Western Cape,47,Adult,1,1,coloured,male
120,Western Cape,46,Adult,1,1,coloured,male
132,Gauteng,45,Adult,1,1,black,male
135,Gauteng,45,Adult,1,1,,male
138,Eastern Cape,45,Adult,1,1,,male
146,Western Cape,45,Adult,1,1,,male
164,Gauteng,43,Adult,1,1,black,male
206,Free State,42,Adult,1,1,coloured,male
212,Gauteng,41,Adult,1,1,black,male
249,Gauteng,40,Adult,1,1,black,male
305,Eastern Cape,39,Adult,1,1,black,male
317,North West,38,Adult,1,1,black,male
325,Gauteng,38,Adult,1,1,black,female
338,Limpopo,38,Adult,1,1,black,male
345,Gauteng,38,Adult,1,1,black,male
385,Gauteng,37,Adult,1,1,black,male
444,Gauteng,35,Youth,1,1,black,male
450,Eastern Cape,35,Youth,1,1,,female
464,Gauteng,35,Youth,1,1,black,female
468,Kwazulu Natal,34,Youth,1,1,black,female
476,Mpumalanga,34,Youth,1,1,black,male
477,North West,34,Youth,1,1,black,male
479,Gauteng,34,Youth,1,1,black,male
507,Gauteng,34,Youth,1,1,black,male
537,Gauteng,33,Youth,1,1,coloured,male
547,Gauteng,33,Youth,1,1,indian_asian,male
551,Limpopo,33,Youth,1,1,black,male
553,Limpopo,33,Youth,1,1,white,male
623,Gauteng,31,Youth,1,1,black,male
649,Mpumalanga,31,Youth,1,1,black,male
655,Gauteng,31,Youth,1,1,white,male
666,Mpumalanga,31,Youth,1,1,coloured,male
675,Gauteng,31,Youth,1,1,black,female
682,Gauteng,30,Youth,1,1,black,male
696,Gauteng,30,Youth,1,1,white,female
701,Gauteng,30,Youth,1,1,black,female
775,Gauteng,29,Youth,1,1,coloured,female
805,Gauteng,29,Youth,1,1,white,female
806,Gauteng,29,Youth,1,1,indian_asian,male
830,Northern Cape,28,Youth,1,1,black,male
850,Western Cape,28,Youth,1,1,coloured,male
854,Free State,28,Youth,1,1,black,male
857,Eastern Cape,28,Youth,1,1,black,male
864,Western Cape,28,Youth,1,1,,female
867,North West,28,Youth,1,1,white,male
870,Free State,28,Youth,1,1,white,male
876,Kwazulu Natal,28,Youth,1,1,black,male
909,Kwazulu Natal,27,Youth,1,1,black,male
912,Western Cape,27,Youth,1,1,indian_asian,female
916,Eastern Cape,27,Youth,1,1,black,male
958,Mpumalanga,26,Youth,1,1,black,male
959,Gauteng,26,Youth,1,1,black,male
967,Gauteng,26,Youth,1,1,,male
972,Gauteng,26,Youth,1,1,black,male
991,Gauteng,26,Youth,1,1,black,male
1012,Mpumalanga,26,Youth,1,1,black,female
1031,Gauteng,25,Youth,1,1,black,male
1041,Gauteng,25,Youth,1,1,,male
1069,Gauteng,25,Youth,1,1,black,male
1075,Gauteng,25,Youth,1,1,black,female
1081,Gauteng,25,Youth,1,1,white,male
1095,Western Cape,24,Youth,1,1,coloured,male
1104,Gauteng,24,Youth,1,1,black,male
1109,Mpumalanga,24,Youth,1,1,,male
1115,Gauteng,24,Youth,1,1,black,female
1144,Limpopo,24,Youth,1,1,black,male
1159,Gauteng,23,Youth,1,1,black,male
1176,Western Cape,23,Youth,1,1,,male
1205,Gauteng,23,Youth,1,1,white,male
1211,Gauteng,23,Youth,1,1,black,male
1214,Mpumalanga,23,Youth,1,1,black,male
1242,Mpumalanga,22,Youth,1,1,coloured,male
1247,Mpumalanga,22,Youth,1,1,white,male
1254,Gauteng,22,Youth,1,1,,male
1258,Limpopo,22,Youth,1,1,black,male
1264,Free State,22,Youth,1,1,black,male
1265,Limpopo,22,Youth,1,1,black,male
1276,Limpopo,22,Youth,1,1,black,male
1324,Western Cape,21,Youth,1,1,black,male
1331,Limpopo,21,Youth,1,1,black,male
1362,Gauteng,19,Teenager,1,1,black,male
1363,Mpumalanga,19,Teenager,1,1,white,female
1366,Kwazulu Natal,19,Teenager,1,1,indian_asian,male
1373,Kwazulu Natal,19,Teenager,1,1,white,male
1383,Gauteng,18,Teenager,1,1,black,male
1388,Limpopo,18,Teenager,1,1,black,male
1401,Gauteng,17,Teenager,1,1,,male
1437,Gauteng,14,Teenager,1,1,black,female
1440,Eastern Cape,14,Teenager,1,1,coloured,female
1441,Gauteng,14,Teenager,1,1,black,female
1445,Northern Cape,13,Teenager,1,1,coloured,male
1451,Limpopo,12,Kids,1,1,black,male
1497,Uncategorized,0,Infants,1,1,,
1503,Uncategorized,0,Infants,1,1,,
1504,Uncategorized,0,Infants,1,1,,
1511,Uncategorized,0,Infants,1,1,,
1518,Uncategorized,0,Infants,1,1,,
1542,Uncategorized,0,Infants,1,1,,
1579,Uncategorized,0,Infants,1,1,,
1582,Uncategorized,0,Infants,1,1,,
1589,Uncategorized,0,Infants,1,1,,
1590,Uncategorized,0,Infants,1,1,,
1608,Uncategorized,0,Infants,1,1,,
1622,Uncategorized,0,Infants,1,1,,
1664,Uncategorized,0,Infants,1,1,,
1676,Uncategorized,0,Infants,1,1,,
1685,Uncategorized,0,Infants,1,1,,
1690,Uncategorized,0,Infants,1,1,,
1693,Uncategorized,0,Infants,1,1,,
1703,Uncategorized,0,Infants,1,1,,
1714,Uncategorized,0,Infants,1,1,,
1731,Uncategorized,0,Infants,1,1,,
1770,Uncategorized,0,Infants,1,1,,
1778,Uncategorized,0,Infants,1,1,,
1793,Uncategorized,0,Infants,1,1,,
1803,Uncategorized,0,Infants,1,1,,
1825,Uncategorized,0,Infants,1,1,,
1827,Uncategorized,0,Infants,1,1,,
1861,Uncategorized,0,Infants,1,1,,
1892,Uncategorized,0,Infants,1,1,,
1921,Uncategorized,0,Infants,1,1,,
1947,Uncategorized,0,Infants,1,1,,
1971,Uncategorized,0,Infants,1,1,,
1975,Uncategorized,0,Infants,1,1,,
1986,Uncategorized,0,Infants,1,1,,
1989,Uncategorized,0,Infants,1,1,,
1998,Uncategorized,0,Infants,1,1,,
2000,Uncategorized,0,Infants,1,1,,
2048,Uncategorized,0,Infants,1,1,,
2075,Uncategorized,0,Infants,1,1,,
2092,Uncategorized,0,Infants,1,1,,
2126,Uncategorized,0,Infants,1,1,,
2141,Uncategorized,0,Infants,1,1,,
2144,Uncategorized,0,Infants,1,1,,
2169,Uncategorized,0,Infants,1,1,,
2170,Uncategorized,0,Infants,1,1,,
2171,Uncategorized,0,Infants,1,1,,
2194,Uncategorized,0,Infants,1,1,,
2200,Uncategorized,0,Infants,1,1,,
2218,Uncategorized,0,Infants,1,1,,
2220,Uncategorized,0,Infants,1,1,,
2221,Uncategorized,0,Infants,1,1,,
2252,Uncategorized,0,Infants,1,1,,
2267,Uncategorized,0,Infants,1,1,,
2275,Uncategorized,0,Infants,1,1,,
2285,Uncategorized,0,Infants,1,1,,
2288,Uncategorized,0,Infants,1,1,,
2300,Uncategorized,0,Infants,1,1,,
2306,Uncategorized,0,Infants,1,1,,
2326,Uncategorized,0,Infants,1,1,,
2328,Uncategorized,0,Infants,1,1,,
2384,Uncategorized,0,Infants,1,1,,
2391,Uncategorized,0,Infants,1,1,,
2411,Uncategorized,0,Infants,1,1,,
2415,Uncategorized,0,Infants,1,1,,
2455,Uncategorized,0,Infants,1,1,,
2458,Uncategorized,0,Infants,1,1,,
2480,Uncategorized,0,Infants,1,1,,
2496,Uncategorized,0,Infants,1,1,,
2497,Uncategorized,0,Infants,1,1,,
2531,Uncategorized,0,Infants,1,1,,
2566,Uncategorized,0,Infants,1,1,,
2569,Uncategorized,0,Infants,1,1,,
2607,Uncategorized,0,Infants,1,1,,
2611,Uncategorized,0,Infants,1,1,,
2613,Uncategorized,0,Infants,1,1,,
2637,Uncategorized,0,Infants,1,1,,
2649,Uncategorized,0,Infants,1,1,,
2691,Uncategorized,0,Infants,1,1,,
2763,Uncategorized,0,Infants,1,1,,
2766,Uncategorized,0,Infants,1,1,,
2768,Uncategorized,0,Infants,1,1,,
2792,Uncategorized,0,Infants,1,1,,
2798,Uncategorized,0,Infants,1,1,,
2811,Uncategorized,0,Infants,1,1,,
2868,Uncategorized,0,Infants,1,1,,
2886,Uncategorized,0,Infants,1,1,,
2899,Uncategorized,0,Infants,1,1,,
2905,Uncategorized,0,Infants,1,1,,
2934,Uncategorized,0,Infants,1,1,,
2952,Uncategorized,0,Infants,1,1,,
2993,Uncategorized,0,Infants,1,1,,
3002,Uncategorized,0,Infants,1,1,,
3021,Uncategorized,0,Infants,1,1,,
3025,Uncategorized,0,Infants,1,1,,
3026,Uncategorized,0,Infants,1,1,,
3057,Uncategorized,0,Infants,1,1,,
3070,Uncategorized,0,Infants,1,1,,
3086,Uncategorized,0,Infants,1,1,,
3096,Uncategorized,0,Infants,1,1,,
3099,Uncategorized,0,Infants,1,1,,
3102,Uncategorized,0,Infants,1,1,,
3106,Uncategorized,0,Infants,1,1,,
3109,Uncategorized,0,Infants,1,1,,
3116,Uncategorized,0,Infants,1,1,,
3121,Uncategorized,0,Infants,1,1,,
3132,Uncategorized,0,Infants,1,1,,
3166,Uncategorized,0,Infants,1,1,,
3168,Uncategorized,0,Infants,1,1,,
3172,Uncategorized,0,Infants,1,1,,
3181,Uncategorized,0,Infants,1,1,,
3201,Uncategorized,0,Infants,1,1,,
3222,Uncategorized,0,Infants,1,1,,
3233,Uncategorized,0,Infants,1,1,,
3242,Uncategorized,0,Infants,1,1,,
3276,Uncategorized,0,Infants,1,1,,
3297,Uncategorized,0,Infants,1,1,,
3309,Uncategorized,0,Infants,1,1,,
3311,Uncategorized,0,Infants,1,1,,
3314,Uncategorized,0,Infants,1,1,,
3336,Uncategorized,0,Infants,1,1,,
3339,Uncategorized,0,Infants,1,1,,
3344,Uncategorized,0,Infants,1,1,,
3363,Uncategorized,0,Infants,1,1,,
3371,Uncategorized,0,Infants,1,1,,
3411,Uncategorized,0,Infants,1,1,,
3413,Uncategorized,0,Infants,1,1,,
3440,Uncategorized,0,Infants,1,1,,
3468,Uncategorized,0,Infants,1,1,,
3487,Uncategorized,0,Infants,1,1,,
3494,Uncategorized,0,Infants,1,1,,
3533,Uncategorized,0,Infants,1,1,,
3554,Uncategorized,0,Infants,1,1,,
3576,Uncategorized,0,Infants,1,1,,
3602,Uncategorized,0,Infants,1,1,,
3603,Uncategorized,0,Infants,1,1,,
3606,Uncategorized,0,Infants,1,1,,
3616,Uncategorized,0,Infants,1,1,,
3623,Uncategorized,0,Infants,1,1,,
3626,Uncategorized,0,Infants,1,1,,
3629,Uncategorized,0,Infants,1,1,,
3642,Uncategorized,0,Infants,1,1,,
3652,Uncategorized,0,Infants,1,1,,
3666,Uncategorized,0,Infants,1,1,,
3679,Uncategorized,0,Infants,1,1,,
3680,Uncategorized,0,Infants,1,1,,
3702,Uncategorized,0,Infants,1,1,,
3723,Uncategorized,0,Infants,1,1,,
3734,Uncategorized,0,Infants,1,1,,
3735,Uncategorized,0,Infants,1,1,,
3793,Uncategorized,0,Infants,1,1,,
3818,Uncategorized,0,Infants,1,1,,
3850,Uncategorized,0,Infants,1,1,,
3866,Uncategorized,0,Infants,1,1,,
